Order,Video Label,Filename,Class Index
1,OK Sign (Open),Okopen2.mp4,4
2,Prong Gesture (Close),Prongclose2.mp4,5
3,Prong Gesture (Open),Prongopen2.mp4,6
4,Open Hand,Handopen2.mp4,2
5,OK Sign (Close),Okclose2.mp4,3
6,Close Hand,Handclose2.mp4,1
7,Close Hand,Handclose2.mp4,1
8,Prong Gesture (Close),Prongclose2.mp4,5
9,Open Hand,Handopen2.mp4,2
10,Prong Gesture (Open),Prongopen2.mp4,6
11,OK Sign (Open),Okopen2.mp4,4
12,OK Sign (Close),Okclose2.mp4,3
13,Open Hand,Handopen2.mp4,2
14,OK Sign (Close),Okclose2.mp4,3
15,Close Hand,Handclose2.mp4,1
16,OK Sign (Open),Okopen2.mp4,4
17,Prong Gesture (Open),Prongopen2.mp4,6
18,Prong Gesture (Close),Prongclose2.mp4,5
19,Close Hand,Handclose2.mp4,1
20,Open Hand,Handopen2.mp4,2
21,OK Sign (Open),Okopen2.mp4,4
22,OK Sign (Close),Okclose2.mp4,3
23,Prong Gesture (Open),Prongopen2.mp4,6
24,Prong Gesture (Close),Prongclose2.mp4,5
25,Prong Gesture (Open),Prongopen2.mp4,6
26,Close Hand,Handclose2.mp4,1
27,OK Sign (Open),Okopen2.mp4,4
28,Prong Gesture (Close),Prongclose2.mp4,5
29,Open Hand,Handopen2.mp4,2
30,OK Sign (Close),Okclose2.mp4,3
31,Close Hand,Handclose2.mp4,1
32,Open Hand,Handopen2.mp4,2
33,OK Sign (Open),Okopen2.mp4,4
34,OK Sign (Close),Okclose2.mp4,3
35,Prong Gesture (Open),Prongopen2.mp4,6
36,Prong Gesture (Close),Prongclose2.mp4,5
37,Prong Gesture (Open),Prongopen2.mp4,6
38,Open Hand,Handopen2.mp4,2
39,OK Sign (Open),Okopen2.mp4,4
40,Prong Gesture (Close),Prongclose2.mp4,5
41,OK Sign (Close),Okclose2.mp4,3
42,Close Hand,Handclose2.mp4,1
43,Prong Gesture (Open),Prongopen2.mp4,6
44,Open Hand,Handopen2.mp4,2
45,Prong Gesture (Close),Prongclose2.mp4,5
46,OK Sign (Close),Okclose2.mp4,3
47,Close Hand,Handclose2.mp4,1
48,OK Sign (Open),Okopen2.mp4,4
49,Prong Gesture (Open),Prongopen2.mp4,6
50,OK Sign (Open),Okopen2.mp4,4
51,OK Sign (Close),Okclose2.mp4,3
52,Prong Gesture (Close),Prongclose2.mp4,5
53,Close Hand,Handclose2.mp4,1
54,Open Hand,Handopen2.mp4,2
55,Prong Gesture (Close),Prongclose2.mp4,5
56,Open Hand,Handopen2.mp4,2
57,OK Sign (Close),Okclose2.mp4,3
58,Close Hand,Handclose2.mp4,1
59,Prong Gesture (Open),Prongopen2.mp4,6
60,OK Sign (Open),Okopen2.mp4,4
61,Close Hand,Handclose2.mp4,1
62,OK Sign (Open),Okopen2.mp4,4
63,OK Sign (Close),Okclose2.mp4,3
64,Prong Gesture (Close),Prongclose2.mp4,5
65,Prong Gesture (Open),Prongopen2.mp4,6
66,Open Hand,Handopen2.mp4,2
67,Close Hand,Handclose2.mp4,1
68,Prong Gesture (Open),Prongopen2.mp4,6
69,Open Hand,Handopen2.mp4,2
70,Prong Gesture (Close),Prongclose2.mp4,5
71,OK Sign (Open),Okopen2.mp4,4
72,OK Sign (Close),Okclose2.mp4,3
73,Prong Gesture (Open),Prongopen2.mp4,6
74,Open Hand,Handopen2.mp4,2
75,OK Sign (Close),Okclose2.mp4,3
76,Close Hand,Handclose2.mp4,1
77,Prong Gesture (Close),Prongclose2.mp4,5
78,OK Sign (Open),Okopen2.mp4,4
79,Close Hand,Handclose2.mp4,1
80,Open Hand,Handopen2.mp4,2
81,Prong Gesture (Close),Prongclose2.mp4,5
82,OK Sign (Open),Okopen2.mp4,4
83,OK Sign (Close),Okclose2.mp4,3
84,Prong Gesture (Open),Prongopen2.mp4,6
85,Open Hand,Handopen2.mp4,2
86,Prong Gesture (Close),Prongclose2.mp4,5
87,Close Hand,Handclose2.mp4,1
88,OK Sign (Close),Okclose2.mp4,3
89,OK Sign (Open),Okopen2.mp4,4
90,Prong Gesture (Open),Prongopen2.mp4,6
91,Close Hand,Handclose2.mp4,1
92,Prong Gesture (Open),Prongopen2.mp4,6
93,Open Hand,Handopen2.mp4,2
94,OK Sign (Close),Okclose2.mp4,3
95,Prong Gesture (Close),Prongclose2.mp4,5
