Order,Video Label,Filename,Class Index
1,Prong Gesture (Open),Prongopen2.mp4,6
2,OK Sign (Open),Okopen2.mp4,4
3,Open Hand,Handopen2.mp4,2
4,Close Hand,Handclose2.mp4,1
5,Prong Gesture (Close),Prongclose2.mp4,5
6,OK Sign (Close),Okclose2.mp4,3
7,OK Sign (Open),Okopen2.mp4,4
8,OK Sign (Close),Okclose2.mp4,3
9,Close Hand,Handclose2.mp4,1
10,Prong Gesture (Open),Prongopen2.mp4,6
11,Prong Gesture (Close),Prongclose2.mp4,5
12,Open Hand,Handopen2.mp4,2
13,Prong Gesture (Close),Prongclose2.mp4,5
14,Open Hand,Handopen2.mp4,2
15,OK Sign (Close),Okclose2.mp4,3
16,Prong Gesture (Open),Prongopen2.mp4,6
17,Close Hand,Handclose2.mp4,1
18,OK Sign (Open),Okopen2.mp4,4
19,Open Hand,Handopen2.mp4,2
20,Close Hand,Handclose2.mp4,1
21,Prong Gesture (Open),Prongopen2.mp4,6
22,Prong Gesture (Close),Prongclose2.mp4,5
23,OK Sign (Open),Okopen2.mp4,4
24,OK Sign (Close),Okclose2.mp4,3
25,OK Sign (Close),Okclose2.mp4,3
26,Close Hand,Handclose2.mp4,1
27,Open Hand,Handopen2.mp4,2
28,OK Sign (Open),Okopen2.mp4,4
29,Prong Gesture (Open),Prongopen2.mp4,6
30,Prong Gesture (Close),Prongclose2.mp4,5
31,OK Sign (Close),Okclose2.mp4,3
32,Close Hand,Handclose2.mp4,1
33,OK Sign (Open),Okopen2.mp4,4
34,Open Hand,Handopen2.mp4,2
35,Prong Gesture (Close),Prongclose2.mp4,5
36,Prong Gesture (Open),Prongopen2.mp4,6
37,OK Sign (Open),Okopen2.mp4,4
38,Prong Gesture (Close),Prongclose2.mp4,5
39,Prong Gesture (Open),Prongopen2.mp4,6
40,Close Hand,Handclose2.mp4,1
41,OK Sign (Close),Okclose2.mp4,3
42,Open Hand,Handopen2.mp4,2
43,Open Hand,Handopen2.mp4,2
44,Close Hand,Handclose2.mp4,1
45,Prong Gesture (Open),Prongopen2.mp4,6
46,Prong Gesture (Close),Prongclose2.mp4,5
47,OK Sign (Close),Okclose2.mp4,3
48,OK Sign (Open),Okopen2.mp4,4
49,Prong Gesture (Open),Prongopen2.mp4,6
50,OK Sign (Close),Okclose2.mp4,3
51,Open Hand,Handopen2.mp4,2
52,Close Hand,Handclose2.mp4,1
53,Prong Gesture (Close),Prongclose2.mp4,5
54,OK Sign (Open),Okopen2.mp4,4
55,OK Sign (Open),Okopen2.mp4,4
56,Close Hand,Handclose2.mp4,1
57,Open Hand,Handopen2.mp4,2
58,OK Sign (Close),Okclose2.mp4,3
59,Prong Gesture (Close),Prongclose2.mp4,5
60,Prong Gesture (Open),Prongopen2.mp4,6
61,OK Sign (Close),Okclose2.mp4,3
62,Prong Gesture (Open),Prongopen2.mp4,6
63,OK Sign (Open),Okopen2.mp4,4
64,Close Hand,Handclose2.mp4,1
65,Open Hand,Handopen2.mp4,2
66,Prong Gesture (Close),Prongclose2.mp4,5
67,Open Hand,Handopen2.mp4,2
68,OK Sign (Close),Okclose2.mp4,3
69,OK Sign (Open),Okopen2.mp4,4
70,Prong Gesture (Open),Prongopen2.mp4,6
71,Close Hand,Handclose2.mp4,1
72,Prong Gesture (Close),Prongclose2.mp4,5
73,Open Hand,Handopen2.mp4,2
74,Close Hand,Handclose2.mp4,1
75,OK Sign (Open),Okopen2.mp4,4
76,Prong Gesture (Close),Prongclose2.mp4,5
77,Prong Gesture (Open),Prongopen2.mp4,6
78,OK Sign (Close),Okclose2.mp4,3
