Order,Video Label,Filename,Class Index
1,Prong Gesture (Close),Prongclose2.mp4,5
2,Prong Gesture (Open),Prongopen2.mp4,6
3,OK Sign (Open),Okopen2.mp4,4
4,Close Hand,Handclose2.mp4,1
5,OK Sign (Close),Okclose2.mp4,3
6,Open Hand,Handopen2.mp4,2
7,Prong Gesture (Close),Prongclose2.mp4,5
8,Close Hand,Handclose2.mp4,1
9,Prong Gesture (Open),Prongopen2.mp4,6
10,OK Sign (Open),Okopen2.mp4,4
11,Open Hand,Handopen2.mp4,2
12,OK Sign (Close),Okclose2.mp4,3
13,Open Hand,Handopen2.mp4,2
14,Prong Gesture (Close),Prongclose2.mp4,5
15,Close Hand,Handclose2.mp4,1
16,OK Sign (Close),Okclose2.mp4,3
17,Prong Gesture (Open),Prongopen2.mp4,6
18,OK Sign (Open),Okopen2.mp4,4
19,Prong Gesture (Close),Prongclose2.mp4,5
20,Open Hand,Handopen2.mp4,2
21,OK Sign (Open),Okopen2.mp4,4
22,Close Hand,Handclose2.mp4,1
23,OK Sign (Close),Okclose2.mp4,3
24,Prong Gesture (Open),Prongopen2.mp4,6
25,Prong Gesture (Open),Prongopen2.mp4,6
26,Close Hand,Handclose2.mp4,1
27,Open Hand,Handopen2.mp4,2
28,Prong Gesture (Close),Prongclose2.mp4,5
29,OK Sign (Close),Okclose2.mp4,3
30,OK Sign (Open),Okopen2.mp4,4
31,Open Hand,Handopen2.mp4,2
32,OK Sign (Close),Okclose2.mp4,3
33,Prong Gesture (Open),Prongopen2.mp4,6
34,Prong Gesture (Close),Prongclose2.mp4,5
35,Close Hand,Handclose2.mp4,1
36,OK Sign (Open),Okopen2.mp4,4
37,OK Sign (Close),Okclose2.mp4,3
38,Close Hand,Handclose2.mp4,1
39,Prong Gesture (Open),Prongopen2.mp4,6
40,Prong Gesture (Close),Prongclose2.mp4,5
41,Open Hand,Handopen2.mp4,2
42,OK Sign (Open),Okopen2.mp4,4
43,OK Sign (Open),Okopen2.mp4,4
44,Prong Gesture (Close),Prongclose2.mp4,5
45,Open Hand,Handopen2.mp4,2
46,OK Sign (Close),Okclose2.mp4,3
47,Prong Gesture (Open),Prongopen2.mp4,6
48,Close Hand,Handclose2.mp4,1
49,Prong Gesture (Close),Prongclose2.mp4,5
50,OK Sign (Open),Okopen2.mp4,4
51,Prong Gesture (Open),Prongopen2.mp4,6
52,OK Sign (Close),Okclose2.mp4,3
53,Open Hand,Handopen2.mp4,2
54,Close Hand,Handclose2.mp4,1
55,Open Hand,Handopen2.mp4,2
56,OK Sign (Close),Okclose2.mp4,3
57,OK Sign (Open),Okopen2.mp4,4
58,Prong Gesture (Open),Prongopen2.mp4,6
59,Close Hand,Handclose2.mp4,1
60,Prong Gesture (Close),Prongclose2.mp4,5
61,Close Hand,Handclose2.mp4,1
62,Open Hand,Handopen2.mp4,2
63,OK Sign (Close),Okclose2.mp4,3
64,Prong Gesture (Close),Prongclose2.mp4,5
65,OK Sign (Open),Okopen2.mp4,4
66,Prong Gesture (Open),Prongopen2.mp4,6
67,Prong Gesture (Close),Prongclose2.mp4,5
68,OK Sign (Close),Okclose2.mp4,3
69,Prong Gesture (Open),Prongopen2.mp4,6
70,Close Hand,Handclose2.mp4,1
71,OK Sign (Open),Okopen2.mp4,4
72,Open Hand,Handopen2.mp4,2
73,OK Sign (Close),Okclose2.mp4,3
74,Prong Gesture (Open),Prongopen2.mp4,6
75,OK Sign (Open),Okopen2.mp4,4
76,Prong Gesture (Close),Prongclose2.mp4,5
77,Close Hand,Handclose2.mp4,1
78,Open Hand,Handopen2.mp4,2
